author_id_from,author_screen_name_from,status_id,to,edge_type
1088512998493294592,disinformediain,1328875199069040645,Protect2020,hashtag
1088512998493294592,disinformediain,1326244647207833603,election,hashtag
1088512998493294592,disinformediain,1326244647207833603,disinformation,hashtag
285698560,jayvanbavel,1368175913943379968,coronavirus,hashtag
285698560,jayvanbavel,1367835638368763907,conspiracytheories,hashtag
285698560,jayvanbavel,1367835638368763907,anti,hashtag
285698560,jayvanbavel,1367835638368763907,socialmovements,hashtag
285698560,jayvanbavel,1366400546459029505,coronavirus,hashtag
285698560,jayvanbavel,1366397828000591872,COVID19,hashtag
285698560,jayvanbavel,1363948725941452802,talkmentalillness,hashtag
285698560,jayvanbavel,1363874716105244672,cognitive,hashtag
285698560,jayvanbavel,1362510409090142208,CountdownToMars,hashtag
868583493428752389,lkfazio,1369086153337540610,InternationalWomensDay,hashtag
868583493428752389,lkfazio,1366758292987539457,allthingscognition,hashtag
868583493428752389,lkfazio,1366758292987539457,psynomLB,hashtag
868583493428752389,lkfazio,1366516975439069185,ItsAPattern,hashtag
868583493428752389,lkfazio,1365443391975219203,2021MMM,hashtag
868583493428752389,lkfazio,1364250586879832071,allthingscognition,hashtag
868583493428752389,lkfazio,1364213264067014656,neurotwitter,hashtag
868583493428752389,lkfazio,1361685816301527041,time,hashtag
868583493428752389,lkfazio,1361685816301527041,memory,hashtag
868583493428752389,lkfazio,1361685816301527041,brain,hashtag
868583493428752389,lkfazio,1361286544024342531,virtualSARMAC,hashtag
868583493428752389,lkfazio,1359955983867461632,WomenInScience,hashtag
277826494,STWorg,1362710928362528769,RRI,hashtag
277826494,STWorg,1362710928362528769,COVID19,hashtag
277826494,STWorg,1362710928362528769,CCA,hashtag
277826494,STWorg,1360311794145906690,information,hashtag
1133069780917850112,yang3kc,1331345277433876480,rstats,hashtag
1133069780917850112,yang3kc,1288944380565499911,bots,hashtag
1133069780917850112,yang3kc,1288944380565499911,COVID19,hashtag
1133069780917850112,yang3kc,1288944380565499911,misinformation,hashtag
1133069780917850112,yang3kc,1285227974653026308,ic2s2,hashtag
1133069780917850112,yang3kc,1281680595446198272,JOSS_theOJ,hashtag
605012771,DG_Rand,1366903530477547523,misinformation,hashtag
605012771,DG_Rand,1365738371142873090,job,hashtag
605012771,DG_Rand,1362829651874299907,COVID19,hashtag
605012771,DG_Rand,1361783129304883201,misinformation,hashtag
605012771,DG_Rand,1360613611916435456,SPSP2021,hashtag
605012771,DG_Rand,1360338831699030021,SPSP2021,hashtag
605012771,DG_Rand,1360224688438448129,misinformation,hashtag
605012771,DG_Rand,1359557724787326979,SPSP2021,hashtag
605012771,DG_Rand,1359223117537763331,SPSP,hashtag
605012771,DG_Rand,1358990530949087234,TechMediaDemocracy,hashtag
1260526934678740993,_mohsen_m,1364546673935065091,Brain,hashtag
1260526934678740993,_mohsen_m,1364546673935065091,Behaviour,hashtag
1260526934678740993,_mohsen_m,1364546673935065091,scicomm,hashtag
1260526934678740993,_mohsen_m,1359806932127633408,socialmedia,hashtag
1260526934678740993,_mohsen_m,1359795171878133760,socialmedia,hashtag
1260526934678740993,_mohsen_m,1359453606018129926,Twitter,hashtag
1260526934678740993,_mohsen_m,1359223193874034689,PNAS,hashtag
1260526934678740993,_mohsen_m,1359223193874034689,echochambers,hashtag
1260526934678740993,_mohsen_m,1356906473230659586,openaccess,hashtag
1260526934678740993,_mohsen_m,1356906473230659586,darkparticipation,hashtag
1260526934678740993,_mohsen_m,1356906473230659586,fakenews,hashtag
1260526934678740993,_mohsen_m,1354104034513219584,CapitolRiots,hashtag
1260526934678740993,_mohsen_m,1354104034513219584,socialmedia,hashtag
1260526934678740993,_mohsen_m,1354104034513219584,fakenews,hashtag
1260526934678740993,_mohsen_m,1349002444177461248,misinformation,hashtag
1260526934678740993,_mohsen_m,1349002444177461248,fakenews,hashtag
1260526934678740993,_mohsen_m,1347501162908405760,misinformation,hashtag
1260526934678740993,_mohsen_m,1347501162908405760,socialmedia,hashtag
1260526934678740993,_mohsen_m,1347501162908405760,shared,hashtag
1260526934678740993,_mohsen_m,1346110269554970625,polarisation,hashtag
1260526934678740993,_mohsen_m,1346110269554970625,digital,hashtag
1260526934678740993,_mohsen_m,1317534527598825472,TTOCon,hashtag
1260526934678740993,_mohsen_m,1317529484413775878,TTOCon,hashtag
1260526934678740993,_mohsen_m,1294643545744187393,Snark,hashtag
1128095824473276418,KaiShu0327,1357336616403091458,Disinformation,hashtag
1128095824473276418,KaiShu0327,1356444374020870144,AAAI2021,hashtag
1128095824473276418,KaiShu0327,1356328770882437121,SocialCybersecurity,hashtag
1128095824473276418,KaiShu0327,1356328770882437121,Education,hashtag
1128095824473276418,KaiShu0327,1356328770882437121,Workforce,hashtag
1128095824473276418,KaiShu0327,1356328770882437121,DataSharing,hashtag
1128095824473276418,KaiShu0327,1356328770882437121,Cyberinfrastructure,hashtag
1128095824473276418,KaiShu0327,1350243086627168259,WWW2021,hashtag
1128095824473276418,KaiShu0327,1324132273508200448,ASUResearch,hashtag
1128095824473276418,KaiShu0327,1317453815734587393,CIKM2020,hashtag
1128095824473276418,KaiShu0327,1311704501431214082,HateSpeech,hashtag
1128095824473276418,KaiShu0327,1311704501431214082,FakeNews,hashtag
1128095824473276418,KaiShu0327,1311704501431214082,hostilepost,hashtag
1128095824473276418,KaiShu0327,1311704501431214082,OSN,hashtag
1128095824473276418,KaiShu0327,1311704501431214082,SocialMedia,hashtag
1128095824473276418,KaiShu0327,1308766577647652867,WIREs,hashtag
1128095824473276418,KaiShu0327,1307016714538954758,Springer,hashtag
1128095824473276418,KaiShu0327,1307016714538954758,CCIS,hashtag
1128095824473276418,KaiShu0327,1305630529606352904,ecmlpkdd2020,hashtag
1128095824473276418,KaiShu0327,1298028655210311680,Misinformation,hashtag
1128095824473276418,KaiShu0327,1286443252988559361,sigir2020,hashtag
1128095824473276418,KaiShu0327,1278016728144859136,infodemics,hashtag
1128095824473276418,KaiShu0327,1278016728144859136,disinformtion,hashtag
1128095824473276418,KaiShu0327,1275095958208929797,CIKM2020,hashtag
1128095824473276418,KaiShu0327,1271179840561876992,ICWSM2020,hashtag
1128095824473276418,KaiShu0327,1268044693406838788,ICWSM2020,hashtag
1128095824473276418,KaiShu0327,1249751513150324741,AAASmtg,hashtag
1128095824473276418,KaiShu0327,1249557850549923840,disinformation,hashtag
1128095824473276418,KaiShu0327,1248688326996975618,disinformation,hashtag
1128095824473276418,KaiShu0327,1234594378351435777,springer,hashtag
1128095824473276418,KaiShu0327,1231971401222877190,ICWSM2020,hashtag
1128095824473276418,KaiShu0327,1228829350700544000,AAASmtg,hashtag
1128095824473276418,KaiShu0327,1228797520924430337,disinformation,hashtag
1128095824473276418,KaiShu0327,1228777421425401856,AAASmtg,hashtag
1128095824473276418,KaiShu0327,1228777421425401856,disinformation,hashtag
1128095824473276418,KaiShu0327,1228777421425401856,misinformation,hashtag
1128095824473276418,KaiShu0327,1227649012083224577,disinformation,hashtag
1128095824473276418,KaiShu0327,1173771276415930368,CronkiteSUSI,hashtag
1128095824473276418,KaiShu0327,1173771200725565440,socialmedia,hashtag
1128095824473276418,KaiShu0327,1173771200725565440,disinformation,hashtag
1194654661447434243,GWIDDP,1359550099643375616,digitalplatforms,hashtag
1194654661447434243,GWIDDP,1357021444002177034,vaccinemisinformation,hashtag
1194654661447434243,GWIDDP,1356630400123158528,vaccinemisinformation,hashtag
1194654661447434243,GWIDDP,1356274917910736898,vaccinehesitancy,hashtag
1194654661447434243,GWIDDP,1355215604190507011,stopthespread,hashtag
1194654661447434243,GWIDDP,1354885725695729666,vaccinehesitancy,hashtag
